Username,Konten,Lokasi
VikohRofikoh,"Di antaranya yaitu Gubernur Jawa Barat Ridwan Kamil; dan mantan Wakil Gubernur DKI yang kini menjabat Menteri Pariwisata dan Ekonomi Kreatif, Sandiaga Salahuddin Uno.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Di antaranya yaitu Gubernur Jawa Barat Ridwan Kamil; dan mantan Wakil Gubernur DKI yang kini menjabat Menteri Pariwisata dan Ekonomi Kreatif, Sandiaga Salahuddin Uno.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Ia menjelaskan, survei mengenai masa depan kepemimpinan DKI Jakarta selanjutnya itu menampilkan nama-nama sejumlah tokoh yang memperoleh dukungan besar apabila maju sebagai calon Gubernur DKI Jakarta.
#BersamaJuara 
Ridwan Kamil","Central Borneo,Indonesia"
VikohRofikoh,"Ia menjelaskan, survei mengenai masa depan kepemimpinan DKI Jakarta selanjutnya itu menampilkan nama-nama sejumlah tokoh yang memperoleh dukungan besar apabila maju sebagai calon Gubernur DKI Jakarta.
#BersamaJuara 
Ridwan Kamil","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""...nama Ridwan Kamil mendapat dukungan paling tinggi untuk maju sebagai calon Gubernur DKI Jakarta tahun 2024,"" ujar Peneliti Populi Center Dimas Ramadhan dalam keterangannya, Jumat (21/10/2022).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"""...nama Ridwan Kamil mendapat dukungan paling tinggi untuk maju sebagai calon Gubernur DKI Jakarta tahun 2024,"" ujar Peneliti Populi Center Dimas Ramadhan dalam keterangannya, Jumat (21/10/2022).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Sementara itu, dalam survei yang digelar Populi Center, nama Ridwan Kamil muncul sebagai tokoh yang mendapat dukungan paling tinggi untuk maju sebagai cagub DKI Jakarta tahun 2024.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"""Tandanya, saya sangat menghormati Pak Heru, top of mind saya (itu) Pak Heru hari ini. (Pesan) WA (WhatsApp) istri saya (sampai) belum saya balas,"" lanjut dia (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Sementara itu, dalam survei yang digelar Populi Center, nama Ridwan Kamil muncul sebagai tokoh yang mendapat dukungan paling tinggi untuk maju sebagai cagub DKI Jakarta tahun 2024.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""Belum sarapan, Pak Heru. Mata saya ke Pak Heru terus. Jadi, di otak saya DKI, DKI, DKI, mohon maaf, Pak,"" tutur Ridwan Kamil.
#BersamaJuara","Central Borneo,Indonesia"
